route_id,scenario,commodity,route_role,route_family_id,year,month,period,month_index,is_active,volume_tons,annualized_route_volume_tons,animation_intensity
R001,current,maize,baseline_only,F001,2026,1,2026-01,1,1,38500,420000,0.884
R001,current,maize,baseline_only,F001,2026,2,2026-02,2,1,39200,420000,0.9
R001,current,maize,baseline_only,F001,2026,3,2026-03,3,1,37800,420000,0.868
R001,current,maize,baseline_only,F001,2026,4,2026-04,4,1,34300,420000,0.787
R001,current,maize,baseline_only,F001,2026,5,2026-05,5,1,32900,420000,0.755
R001,current,maize,baseline_only,F001,2026,6,2026-06,6,1,31500,420000,0.723
R001,current,maize,baseline_only,F001,2026,7,2026-07,7,1,30800,420000,0.707
R001,current,maize,baseline_only,F001,2026,8,2026-08,8,1,31150,420000,0.715
R001,current,maize,baseline_only,F001,2026,9,2026-09,9,1,33250,420000,0.763
R001,current,maize,baseline_only,F001,2026,10,2026-10,10,1,35000,420000,0.804
R001,current,maize,baseline_only,F001,2026,11,2026-11,11,1,36750,420000,0.844
R001,current,maize,baseline_only,F001,2026,12,2026-12,12,1,38850,420000,0.892
R001,current,maize,baseline_only,F001,2027,1,2027-01,13,1,39077,426300,0.884
R001,current,maize,baseline_only,F001,2027,2,2027-02,14,1,39788,426300,0.9
R001,current,maize,baseline_only,F001,2027,3,2027-03,15,1,38367,426300,0.868
R001,current,maize,baseline_only,F001,2027,4,2027-04,16,1,34814,426300,0.787
R001,current,maize,baseline_only,F001,2027,5,2027-05,17,1,33393,426300,0.755
R001,current,maize,baseline_only,F001,2027,6,2027-06,18,1,31972,426300,0.723
R001,current,maize,baseline_only,F001,2027,7,2027-07,19,1,31262,426300,0.707
R001,current,maize,baseline_only,F001,2027,8,2027-08,20,1,31617,426300,0.715
R001,current,maize,baseline_only,F001,2027,9,2027-09,21,1,33749,426300,0.763
R001,current,maize,baseline_only,F001,2027,10,2027-10,22,1,35525,426300,0.804
R001,current,maize,baseline_only,F001,2027,11,2027-11,23,1,37301,426300,0.844
R001,current,maize,baseline_only,F001,2027,12,2027-12,24,1,39433,426300,0.892
R001,current,maize,baseline_only,F001,2028,1,2028-01,25,1,39664,432694,0.884
R001,current,maize,baseline_only,F001,2028,2,2028-02,26,1,40385,432694,0.9
R001,current,maize,baseline_only,F001,2028,3,2028-03,27,1,38943,432694,0.868
R001,current,maize,baseline_only,F001,2028,4,2028-04,28,1,35337,432694,0.787
R001,current,maize,baseline_only,F001,2028,5,2028-05,29,1,33894,432694,0.755
R001,current,maize,baseline_only,F001,2028,6,2028-06,30,1,32452,432694,0.723
R001,current,maize,baseline_only,F001,2028,7,2028-07,31,1,31731,432694,0.707
R001,current,maize,baseline_only,F001,2028,8,2028-08,32,1,32092,432694,0.715
R001,current,maize,baseline_only,F001,2028,9,2028-09,33,1,34255,432694,0.763
R001,current,maize,baseline_only,F001,2028,10,2028-10,34,1,36058,432694,0.804
R001,current,maize,baseline_only,F001,2028,11,2028-11,35,1,37861,432694,0.844
R001,current,maize,baseline_only,F001,2028,12,2028-12,36,1,40024,432694,0.892
R001,current,maize,baseline_only,F001,2029,1,2029-01,37,1,40259,439185,0.884
R001,current,maize,baseline_only,F001,2029,2,2029-02,38,1,40991,439185,0.9
R001,current,maize,baseline_only,F001,2029,3,2029-03,39,1,39527,439185,0.868
R001,current,maize,baseline_only,F001,2029,4,2029-04,40,1,35867,439185,0.787
R001,current,maize,baseline_only,F001,2029,5,2029-05,41,1,34403,439185,0.755
R001,current,maize,baseline_only,F001,2029,6,2029-06,42,1,32939,439185,0.723
R001,current,maize,baseline_only,F001,2029,7,2029-07,43,1,32207,439185,0.707
R001,current,maize,baseline_only,F001,2029,8,2029-08,44,1,32573,439185,0.715
R001,current,maize,baseline_only,F001,2029,9,2029-09,45,1,34769,439185,0.763
R001,current,maize,baseline_only,F001,2029,10,2029-10,46,1,36599,439185,0.804
R001,current,maize,baseline_only,F001,2029,11,2029-11,47,1,38429,439185,0.844
R001,current,maize,baseline_only,F001,2029,12,2029-12,48,1,40625,439185,0.892
R001,current,maize,baseline_only,F001,2030,1,2030-01,49,1,40862,445773,0.884
R001,current,maize,baseline_only,F001,2030,2,2030-02,50,1,41605,445773,0.9
R001,current,maize,baseline_only,F001,2030,3,2030-03,51,1,40120,445773,0.868
R001,current,maize,baseline_only,F001,2030,4,2030-04,52,1,36405,445773,0.787
R001,current,maize,baseline_only,F001,2030,5,2030-05,53,1,34919,445773,0.755
R001,current,maize,baseline_only,F001,2030,6,2030-06,54,1,33433,445773,0.723
R001,current,maize,baseline_only,F001,2030,7,2030-07,55,1,32690,445773,0.707
R001,current,maize,baseline_only,F001,2030,8,2030-08,56,1,33061,445773,0.715
R001,current,maize,baseline_only,F001,2030,9,2030-09,57,1,35290,445773,0.763
R001,current,maize,baseline_only,F001,2030,10,2030-10,58,1,37148,445773,0.804
R001,current,maize,baseline_only,F001,2030,11,2030-11,59,1,39005,445773,0.844
R001,current,maize,baseline_only,F001,2030,12,2030-12,60,1,41234,445773,0.892
R002,current,maize,baseline_only,F002,2026,1,2026-01,1,1,33000,360000,0.884
R002,current,maize,baseline_only,F002,2026,2,2026-02,2,1,33600,360000,0.9
